Thithi_0,Varsham,Chandramanam_masam,Paksham ,Thithi_1,Ruthu,from_date,to_date,Date advancement by,from_hh,from_mm,to_hh,to_mm,Duration_in_mins,,,,,,,
EKA,VWV,PAU,KRI,EKA,HEM,20260113,20260114,2,15,18,17,53,1595,,,,,,,
DWA,VWV,PAU,KRI,DWA,HEM,20260114,20260115,2,17,53,20,17,1584,,,,,,,
TRY,VWV,PAU,KRI,TRY,HEM,20260115,20260116,2,20,17,22,22,1565,,,,,,,
CHD,VWV,PAU,KRI,CHD,HEM,20260116,20260118,3,22,22,0,4,1542,,,,,,,
AMA,VWV,PAU,KRI,AMA,HEM,20260118,20260119,2,0,4,1,22,1518,,,,,,,
PRA,VWV,MAG,SHU,PRA,SHI,20260119,20260120,2,1,22,2,14,1492,,,,,,,
DWI,VWV,MAG,SHU,DWI,SHI,20260120,20260121,2,2,14,2,43,1469,,,,,,,
TRU,VWV,MAG,SHU,TRU,SHI,20260121,20260122,2,2,43,2,47,1444,,,,,,,
CHA,VWV,MAG,SHU,CHA,SHI,20260122,20260123,2,2,47,2,28,1421,,,,,,,
PAN,VWV,MAG,SHU,PAN,SHI,20260123,20260124,2,2,28,1,46,1398,,,,,,,